Year,Geography Name,Geography Hierarchy,Geography Code,Age,Sex,Value
2014,Wigan,2011WARDH,E08000010,30,Male,1971
2014,Wigan,2011WARDH,E08000010,30,Female,2145
2014,Wigan,2011WARDH,E08000010,31,Male,2061
2014,Wigan,2011WARDH,E08000010,31,Female,1989
2014,Wigan Central,2011WARDH,E05000861,30,Male,89
2014,Wigan Central,2011WARDH,E05000861,30,Female,57
2014,Wigan Central,2011WARDH,E05000861,31,Male,77
2014,Wigan Central,2011WARDH,E05000861,31,Female,61
2014,Wigan West,2011WARDH,E05000862,30,Male,92
2014,Wigan West,2011WARDH,E05000862,30,Female,106
2014,Wigan West,2011WARDH,E05000862,31,Male,87
2014,Wigan West,2011WARDH,E05000862,31,Female,73
2014,Wigan,2011PCONH,E14001039,30,Male,654
2014,Wigan,2011PCONH,E14001039,30,Female,689
2014,Wigan,2011PCONH,E14001039,31,Male,686
2014,Wigan,2011PCONH,E14001039,31,Female,646
2014,NHS Wigan Borough,2013HEALTHH,E38000205,30,Male,1971
2014,NHS Wigan Borough,2013HEALTHH,E38000205,30,Female,2145
2014,NHS Wigan Borough,2013HEALTHH,E38000205,31,Male,2061
2014,NHS Wigan Borough,2013HEALTHH,E38000205,31,Female,1989
